Region,Name,Type,Primary Domain,Key Obligations / Frameworks,Official Site,Developer Portal / API,API Auth / Protocol,Example Endpoints,Data to Fetch (for our DB),Trigger in Our App,Sources
Saudi,"Communications, Space & Technology Commission (CST)",Government regulator,"Telecom, space, technology; Cloud, IoT; sector cybersecurity (CRF)",CST CRF for ICT SPs; Cloud Computing Services Provisioning Regulations; IoT Regulations,https://www.cst.gov.sa/en,No public API; regulatory docs & notices,,,"Latest regulations (CRF, Cloud, IoT), license classes, compliance deadlines, news updates","Telecom services, cloud hosting in KSA, IoT connectivity, operating as ICT SP",CST CRF doc; Cloud regs; IoT regs
Saudi,National Cybersecurity Authority (NCA),Government regulator,National cybersecurity,Essential Cybersecurity Controls (ECC 2-2024); other frameworks & policies,https://nca.gov.sa,No public API,,,"ECC versions, policy updates, sectoral guidance",Any handling of sensitive data; national entities; suppliers to gov/regulated sectors,NCA ECC 2-2024
Saudi,SDAIA / NDMO (PDPL),Government regulator,"Personal data protection, data governance",PDPL Law & Implementing Regulations; Data Mgmt & PDP Standards; FOI standards,https://sdaia.gov.sa,No public API; Open Data pages,,,PDPL implementing regs; transfer rules; DPO/Controller registry (when public); guidance updates,Collecting or processing personal data of individuals in KSA,SDAIA PDPL regs; NDMO standards
Saudi,Digital Government Authority (DGA) & Open Data Portal,Government authority / national platform,"Digital gov policy, open data, APIs governance",Open Data policy; API Guideline; API Inventory service,https://dga.gov.sa/en,Open Data Portal with dataset APIs; API Inventory service for gov entities,Typically CKAN-style open data APIs; varies per dataset,open.data.gov.sa datasets (per dataset),Agency datasets; metadata; update cadence; API endpoints for relevant datasets,Need gov datasets or metadata; integrate with gov APIs when offered,Open Data portal; DGA API Guideline; API Inventory
Saudi,"ZATCA (Zakat, Tax and Customs Authority) – e‑Invoicing (FATOORA)",Government regulator,"Tax, e‑invoicing",E‑Invoicing Detailed Guideline; Phase 2 Integration; CSR & CSID; Reporting/Clearance APIs,https://zatca.gov.sa,E‑Invoicing Developer Portal (simulation & production),Mutual TLS + CSID (code signing); OAuth where applicable,…/e‑invoicing/simulation/invoices/reporting/single; …/e‑invoicing/simulation/invoices/clearance/single,"API base URLs (sim/prod), version, onboarding steps, cryptographic requirements, error codes",Any invoicing/billing issued by KSA VAT‑registered entities,ZATCA Systems Developers; Detailed Guideline; FATOORA endpoints
Saudi,Saudi Central Bank (SAMA) – Open Banking,Government regulator,Banking & payments,Open Banking Framework (AIS & PIS releases),https://www.sama.gov.sa,Bank APIs per framework; ecosystem info at openbanking.sa,OAuth2.0 / FAPI; per bank TPP onboarding,"Per bank; AIS: accounts, balances, transactions; PIS: payment initiation",Which banks support AIS/PIS; sandbox URLs; certification status,If we aggregate bank data or initiate payments,SAMA news; openbanking.sa
Saudi,Capital Market Authority (CMA) – FinTech Lab,Government regulator,"Capital markets (securities), fintech sandbox",FinTech Experimental Permit Instructions; sandbox criteria/rounds,https://cma.gov.sa,No public API; sandbox process & forms,,,"Sandbox rounds, timelines, scope allowed, reporting duties","If we offer capital‑markets fintech products (crowdfunding, robo‑advisory, etc.)",CMA FinTech Lab pages & news
Saudi,Saudi Food & Drug Authority (SFDA),Government regulator,"Food, drug, devices, cosmetics",Registration & market authorization; data exchange,https://www.sfda.gov.sa/en,SFDA Developer Portal (OAuth),OAuth2 (client credentials),"Authorization, product/establishment registries (per product line)","API products list, scopes, OAuth flow, rate limits",If we process/device/medication data or healthcare supply chain,SFDA developer portal & OAuth docs
Saudi,Council of Health Insurance (CHI) / NPHIES (with NHIC),Government regulator & national HIE,Health insurance & clinical data exchange,NPHIES standards (HL7 FHIR); CHI policies; vendor certification,https://www.chi.gov.sa,NPHIES Integration Guides (FHIR‑based); vendor onboarding,FHIR + OAuth2 / JWT (per NPHIES IG),"FHIR resources: Patient, Coverage, Claim, PriorAuth, etc.",Implementation guide versions; endpoints; certification status,"If we handle insurance eligibility, claims, clinical e‑exchange",CHI/NPHIES pages & IG
Saudi,Saudi Authority for Intellectual Property (SAIP),Government authority,"IP rights (patents, trademarks, copyright)",Registration & enforcement procedures,https://www.saip.gov.sa/en/,Public search portals; no public API documented,,,IP search URLs; filing requirements; fee schedules,If we manage brand/IP assets or monitor infringements,SAIP site
